"file","baseline_pct","new_pct","delta","new_uncovered","new_covered","new_valid","status"
"Fuzzing/Common/Fuzz.Tools/Program.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Fuzzing/Opc.Ua.Network.Fuzz.Tools/Network.Testcases.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Libraries/Opc.Ua.Client/Fluent/ClientReverseConnectOptions.cs","100","100","0","0","3","3",">=80"
"Libraries/Opc.Ua.Client/Fluent/HttpsTransportChannelBindings.cs","0","45","45","11","9","20","<80"
"Libraries/Opc.Ua.Client/Fluent/ManagedSessionBuilder.cs","68.48","82.88","14.4","63","305","368",">=80"
"Libraries/Opc.Ua.Client/Fluent/OpcUaClientBuilderExtensions.cs","52.4","72.58","20.18","136","360","496","<80"
"Libraries/Opc.Ua.Client/ReverseConnectManager.cs","64.1","76.22","12.12","107","343","450","<80"
"Libraries/Opc.Ua.Client/Session/ManagedSession.cs","70.66","69.13","-1.53","280","627","907","<80"
"Libraries/Opc.Ua.Client/WebApi/IWebApiClient.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Libraries/Opc.Ua.Client/WebApi/OpcUaWebApiClientBuilderExtensions.cs","0","100","100","0","33","33",">=80"
"Libraries/Opc.Ua.Client/WebApi/WebApiClient.cs","56.94","79.17","22.23","45","171","216","<80"
"Libraries/Opc.Ua.Client/WebApi/WebApiClientOptions.cs","100","100","0","0","7","7",">=80"
"Libraries/Opc.Ua.Client/WebApi/WebApiTransportChannel.cs","74.5","74.5","0","77","225","302","<80"
"Libraries/Opc.Ua.Client/WebApi/WebApiTransportChannelFactory.cs","94.12","100","5.88","0","17","17",">=80"
"Libraries/Opc.Ua.Client/WebApi/WebApiWssTransportChannel.cs","77.46","77.46","0","78","268","346","<80"
"Libraries/Opc.Ua.Client/WebApi/WebApiWssTransportChannelFactory.cs","90.91","100","9.09","0","11","11",">=80"
"Libraries/Opc.Ua.Lds.Server/LdsServer.cs","87.54","80.12","-7.42","67","270","337",">=80"
"Libraries/Opc.Ua.Server/Server/StandardServer.cs","76.66","70.7","-5.96","753","1817","2570","<80"
"Stack/Opc.Ua.Bindings.Https/Authentication/BasicAuthenticationHandler.cs","87.5","87.5","0","7","49","56",">=80"
"Stack/Opc.Ua.Bindings.Https/Authentication/JwtClaimSessionlessIdentityProvider.cs","86.52","86.52","0","19","122","141",">=80"
"Stack/Opc.Ua.Bindings.Https/DependencyInjection/OpcUaHttpsBuilderExtensions.cs","0","100","100","0","31","31",">=80"
"Stack/Opc.Ua.Bindings.Https/DependencyInjection/OpcUaKestrelTcpBuilderExtensions.cs","0","100","100","0","12","12",">=80"
"Stack/Opc.Ua.Bindings.Https/DependencyInjection/OpcUaWebApiAuthenticationBuilderExtensions.cs","66.67","80","13.33","18","72","90",">=80"
"Stack/Opc.Ua.Bindings.Https/DependencyInjection/OpcUaWebApiBuilderExtensions.cs","0","67.39","67.39","15","31","46","<80"
"Stack/Opc.Ua.Bindings.Https/Https/HttpsServiceHost.cs","91.55","91.55","0","12","130","142",">=80"
"Stack/Opc.Ua.Bindings.Https/Https/HttpsTransportListener.cs","70.53","70.89","0.36","370","901","1271","<80"
"Stack/Opc.Ua.Bindings.Https/Https/IHttpsListenerStartupContributor.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Bindings.Https/Https/JsonRequestMapper.cs","81.33","81.33","0","14","61","75",">=80"
"Stack/Opc.Ua.Bindings.Https/Https/SharedKestrelHostRegistry.cs","91.45","92.42","0.97","15","183","198",">=80"
