Time,Interopolated #1,,Interopolated #2,,Start Bounds,,End Bounds,,Average,,Time Average,,Time Average Bounds,,Count,,Total,,Time
0,0,BR,0,BR,0,BR,0,BR,0,BR,0,BR,0,BR,0,GC,0,GC,0
5,0,BR,0,BR,0,BR,10,GR,0,BR,0,BR,0,BR,0,GC,0,GC,5
10,10,GR,10,GR,10,GR,15,GI,10,GC,12.5,GC,12.5,GC,1,GC,10,GC,10
15,15,GI,15,GI,15,GI,20,GR,0,BR,17.5,GC,17.5,GC,0,GC,0,GC,15
20,20,GR,20,GR,20,GR,25,GI,20,GC,22.5,GC,22.5,GC,1,GC,20,GC,20
25,25,GI,25,GI,25,GI,30,GR,0,BR,27.5,GC,27.5,GC,0,GC,0,GC,25
30,30,GR,30,GR,30,GR,30,UI,30,GC,32.5,GC,30,GC,1,GC,30,GC,30
35,35,UI,35,UI,30,UI,0,BD,0,BR,37.5,UC,30,UC,0,GC,0,GC,35
40,40,UI,40,UI,0,BD,0,BR,0,BR,42.5,UC,0,BR,0,GC,0,GC,40
45,45,UI,45,UI,0,BR,50,GR,0,BR,47.5,UC,0,BR,0,GC,0,GC,45
50,50,GR,50,GR,50,GR,55,GI,50,GC,52.5,GC,52.5,GC,1,GC,50,GC,50
55,55,GI,55,GI,55,GI,60,GR,0,BR,57.5,GC,57.5,GC,0,GC,0,GC,55
60,60,GR,60,GR,60,GR,65,UI,60,GC,62.5,GC,62.5,GC,1,GC,60,GC,60
65,65,UI,65,UI,65,UI,70,UR,0,BR,67.5,UC,67.5,UC,0,GC,0,GC,65
70,70,UR,70,UI,70,UR,75,UI,70,GC,72.5,UC,72.5,UC,1,GC,70,UC,70
75,75,UI,75,UI,75,UI,80,GR,0,BR,77.5,UC,77.5,UC,0,GC,0,GC,75
80,80,GR,80,GR,80,GR,85,GI,80,GC,82.5,GC,82.5,GC,1,GC,80,GC,80
85,85,GI,85,GI,85,GI,90,GR,0,BR,87.5,GC,87.5,GC,0,GC,0,GC,85
90,90,GR,90,GR,90,GR,0,BR,90,GC,92.5,UC,90,UC,1,GC,90,GC,90
95,95,UI,95,UI,0,BR,0,BR,0,BR,97.5,UC,0,BR,0,GC,0,GC,95
100,100,UI,100,UI,0,BR,0,BR,0,BR,105,UC,0,BR,0,GC,0,GC,100
,,,,,,,,,,,,,,,,,,,
