Time,Interopolated #1,,Interopolated #2,,Start Bounds,,End Bounds,,Average,,Time Average,,Time Average Bounds,,Count,,Total,
0,0,BR,0,BR,0,BR,10,GI,10,UC,10,UC,10,UC,1,GC,10,GC
5,10,GI,10,GI,10,GI,10,GI,0,BR,10,GC,10,GC,0,GC,0,GC
10,10,GI,10,GI,10,GI,10,GI,0,BR,10,GC,10,GC,0,GC,0,GC
15,10,GI,10,GI,10,GI,10,GI,0,BR,10,GC,10,GC,0,GC,0,GC
20,10,GI,10,GI,10,GI,20,GR,0,BR,10,GC,10,GC,0,GC,0,GC
25,20,GR,20,GR,20,GR,25,GI,22.5,GC,22,GC,22,GC,2,GC,45,GC
30,25,GI,25,GI,25,GI,25,GI,0,BR,25,GC,25,GC,0,GC,0,GC
35,25,GI,25,GI,25,GI,30,GI,30,GC,26,GC,26,GC,1,GC,30,GC
40,30,GI,30,GI,30,GI,0,BR,0,BR,30,UC,30,UC,0,GC,0,UC
45,30,UI,30,UI,0,BR,40,GI,40,UC,34,UC,40,UC,1,GC,40,GC
50,40,GI,40,GI,40,GI,50,GI,50,GC,46,GC,46,GC,1,GC,50,GC
55,50,GI,50,GI,50,GI,50,GI,0,BR,50,GC,50,GC,0,GC,0,GC
60,50,GI,50,GI,50,GI,50,GI,0,BR,50,GC,50,GC,0,GC,0,GC
65,50,GI,50,GI,50,GI,50,GI,0,BR,50,GC,50,GC,0,GC,0,GC
70,50,GI,50,GI,50,GI,60,GI,60,GC,56,GC,56,GC,1,GC,60,GC
75,60,GI,60,GI,60,GI,0,BR,0,BR,60,UC,60,UC,0,GC,0,UC
80,60,UI,70,UI,0,BR,70,GI,70,UC,64,UC,70,UC,1,GC,70,GC
85,70,GI,70,GI,70,GI,90,GR,80,GC,78,GC,78,GC,1,GC,80,GC
90,90,GR,90,GR,90,GR,0,BR,90,GC,90,UC,90,UC,1,GC,90,GC
95,90,UI,90,UI,0,BR,0,BR,0,BR,90,UC,0,BR,0,GC,0,GC
100,90,UI,90,UI,0,BR,0,BR,0,BR,90,UC,0,BR,0,GC,0,GC
,,,,,,,,,,,,,,,,,,
