SymbolicName,NodeId,NodeClass
Decimal,927,DataType
EquipmentPropertyType,954,VariableType
PersonnelClassPropertyType,1123,VariableType
HasISA95Property,2009,ReferenceType
ISA95PropertyType,4263,VariableType
HasISA95Attribute,4713,ReferenceType
MadeUpOf,4714,ReferenceType
Opc_ISA95,4759,Variable
Opc_ISA95_NamespaceUri,4761,Variable
Opc_ISA95_4765,4765,Variable
Opc_ISA95_NamespaceUri_4767,4767,Variable
DecimalString,4772,DataType
DateString,4773,DataType
TimeString,4774,DataType
DurationString,4775,DataType
CurrencyCode,4776,DataType
CDTIdentifier,4777,DataType
CDTIdentifier_SchemeId,4778,Variable
CDTIdentifier_SchemeVersionId,4779,Variable
CDTIdentifier_SchemeAgencyId,4780,Variable
CurrencyCode_Encoding_DefaultXml,4784,Object
Opc_ISA95_CurrencyCode,4785,Variable
CurrencyCode_Encoding_DefaultBinary,4788,Object
Opc_ISA95_CurrencyCode_4789,4789,Variable
CDTCode,4792,DataType
CDTCode_ListId,4793,Variable
CDTCode_ListAgencyId,4794,Variable
CDTCode_ListVersionId,4795,Variable
CDTAmountDecimal,4796,DataType
CDTAmountDecimal_Currency,4797,Variable
CDTBinaryObject,4798,DataType
CDTBinaryObject_CharacterSet,4800,Variable
CDTBinaryObject_Encoding,4801,Variable
CDTBinaryObject_FileName,4802,Variable
CDTDateTime,4803,DataType
CDTDateTime_Timezone,4804,Variable
CDTDateTime_DaylightSavings,4805,Variable
CDTGraphic,4806,DataType
CDTGraphic_FileName,4808,Variable
CDTMeasureDecimal,4809,DataType
CDTMeasureDecimal_Unit,4810,Variable
CDTMeasureDouble,4811,DataType
CDTMeasureDouble_Unit,4812,Variable
CDTMeasureFloat,4813,DataType
CDTMeasureFloat_Unit,4814,Variable
CDTMeasureInt16,4815,DataType
CDTMeasureInt16_Unit,4816,Variable
CDTMeasureInt32,4817,DataType
CDTMeasureInt32_Unit,4818,Variable
CDTMeasureInt64,4819,DataType
CDTMeasureInt64_Unit,4820,Variable
CDTOrdinal,4821,DataType
CDTPicture,4822,DataType
CDTPicture_FileName,4824,Variable
CDTRateDecimal,4825,DataType
CDTRateDecimal_Multiplier,4826,Variable
CDTRateDecimal_Unit,4827,Variable
CDTRateDecimal_Currency,4828,Variable
CDTRateDecimal_BaseMultiplier,4829,Variable
CDTRateDecimal_BaseUnit,4830,Variable
CDTRateDecimal_BaseCurrency,4831,Variable
CDTRateDouble,4832,DataType
CDTRateDouble_Multiplier,4833,Variable
CDTRateDouble_Unit,4834,Variable
CDTRateDouble_Currency,4835,Variable
CDTRateDouble_BaseMultiplier,4836,Variable
CDTRateDouble_BaseUnit,4837,Variable
CDTRateDouble_BaseCurrency,4838,Variable
CDTRateFloat,4839,DataType
CDTRateFloat_Multiplier,4840,Variable
CDTRateFloat_Unit,4841,Variable
CDTRateFloat_Currency,4842,Variable
CDTRateFloat_BaseMultiplier,4843,Variable
CDTRateFloat_BaseUnit,4844,Variable
CDTRateFloat_BaseCurrency,4845,Variable
CDTRateInt32,4846,DataType
CDTRateInt32_Multiplier,4847,Variable
CDTRateInt32_Unit,4848,Variable
CDTRateInt32_Currency,4849,Variable
CDTRateInt32_BaseMultiplier,4850,Variable
CDTRateInt32_BaseUnit,4851,Variable
CDTRateInt32_BaseCurrency,4852,Variable
CDTSound,4853,DataType
CDTSound_FileName,4855,Variable
CDTVideo,4856,DataType
CDTVideo_FileName,4858,Variable
ISA95TestResultMeasurementDataType,4862,DataType
ISA95TestResultMeasurementDataType_Encoding_DefaultXml,4863,Object
Opc_ISA95_ISA95TestResultMeasurementDataType,4864,Variable
ISA95TestResultMeasurementDataType_Encoding_DefaultBinary,4867,Object
Opc_ISA95_ISA95TestResultMeasurementDataType_4868,4868,Variable
ISA95EquipmentElementLevelEnum,4871,DataType
ISA95EquipmentElementLevelEnum_EnumStrings,4872,Variable
